,count,mean,std,min,25%,50%,75%,max
T0700,3653.0,25.890610457158456,1.3350453531355908,19.8,25.2,26.0,26.8,29.2
T1300,3653.0,29.583383520394214,1.395400182826483,22.5,28.6,29.7,30.6,33.6
T1800,3653.0,27.897864768683306,1.360344665227714,22.2,26.8,28.0,29.0,31.8
Trata-rata,3653.0,27.324828907747126,1.1616991485955273,15.8,26.6,27.4,28.1,30.7
Tmax,3653.0,30.53071448124822,1.298095942699282,26.0,29.6,30.6,31.4,35.0
Tmin,3653.0,24.77347385710378,1.2878996648637366,19.2,24.1,24.9,25.6,28.1
CH,3653.0,4.760525595401033,13.246122702357255,0.0,0.0,0.0,1.9,145.6
LPM,3653.0,71.28743498494389,35.79481731588259,0.0,51.0,89.0,100.0,100.0
QFE,3653.0,1009.7515466739635,2.0583508590233683,1001.7,1008.4,1009.9,1011.2,1015.2
RH0700,3653.0,85.65261428962496,5.746520627703869,61.0,82.0,86.0,90.0,100.0
RH1300,3653.0,71.26991513824254,6.5646557623055815,48.0,67.0,71.0,75.0,99.0
RH1800,3653.0,77.64111689022721,5.568563584547595,59.0,74.0,78.0,81.0,98.0
RHrata-rata,3653.0,80.1776621954558,4.691982897939084,62.0,77.0,80.0,83.0,99.0
ffrata-rata,3653.0,6.310429783739393,2.532806251897203,2.0,4.0,6.0,8.0,25.0
dd,3653.0,160.05748699698879,77.48385679257791,0.0,100.0,120.0,250.0,360.0
ffmax,3653.0,17.07799069258144,5.082296185366966,5.0,14.0,16.0,19.0,49.0
ddmax,3653.0,167.67834656446757,79.54259134720967,0.0,110.0,130.0,250.0,360.0
QFF,3653.0,1010.3639598540105,1.8894298156115241,1002.1,1009.3,1010.3639598540125,1011.6,1015.7
