Tanggal,Tahun,Bulan,Tanggal,CH
1/1/1980,1980,1,1,1
1/2/1980,1980,1,2,13.51104193
1/3/1980,1980,1,3,37.8
1/4/1980,1980,1,4,15.4
1/5/1980,1980,1,5,1.5
1/6/1980,1980,1,6,13.51104193
1/7/1980,1980,1,7,4
1/8/1980,1980,1,8,13.51104193
1/9/1980,1980,1,9,39.3
1/10/1980,1980,1,10,20.5
1/11/1980,1980,1,11,9.5
1/12/1980,1980,1,12,16.3
1/13/1980,1980,1,13,4.7
1/14/1980,1980,1,14,13.51104193
1/15/1980,1980,1,15,0.6
1/16/1980,1980,1,16,1.9
1/17/1980,1980,1,17,0.4
1/18/1980,1980,1,18,4.1
1/19/1980,1980,1,19,13.51104193
1/20/1980,1980,1,20,75.2
1/21/1980,1980,1,21,21.2
1/22/1980,1980,1,22,5
1/23/1980,1980,1,23,1.6
1/24/1980,1980,1,24,0.8
1/25/1980,1980,1,25,13.51104193
1/26/1980,1980,1,26,13.51104193
1/27/1980,1980,1,27,13.51104193
1/28/1980,1980,1,28,13.51104193
1/29/1980,1980,1,29,11.5
1/30/1980,1980,1,30,34.4
1/31/1980,1980,1,31,2.6
2/1/1980,1980,2,1,13.51104193
2/2/1980,1980,2,2,19
2/3/1980,1980,2,3,13.51104193
2/4/1980,1980,2,4,9.4
2/5/1980,1980,2,5,20.6
2/6/1980,1980,2,6,7.6
2/7/1980,1980,2,7,32.8
2/8/1980,1980,2,8,13.51104193
2/9/1980,1980,2,9,4
2/10/1980,1980,2,10,13.51104193
2/11/1980,1980,2,11,4.3
2/12/1980,1980,2,12,2.2
2/13/1980,1980,2,13,1.1
2/14/1980,1980,2,14,1.3
2/15/1980,1980,2,15,13.51104193
2/16/1980,1980,2,16,13.51104193
2/17/1980,1980,2,17,13.51104193
2/18/1980,1980,2,18,13.51104193
2/19/1980,1980,2,19,12
2/20/1980,1980,2,20,5.4
2/21/1980,1980,2,21,4.9
2/22/1980,1980,2,22,13.51104193
2/23/1980,1980,2,23,2
2/24/1980,1980,2,24,36
2/25/1980,1980,2,25,1.6
2/26/1980,1980,2,26,4.2
2/27/1980,1980,2,27,18
2/28/1980,1980,2,28,13.51104193
2/29/1980,1980,2,29,13.51104193
3/1/1980,1980,3,1,13.51104193
3/2/1980,1980,3,2,13.51104193
3/3/1980,1980,3,3,13.51104193
3/4/1980,1980,3,4,13.51104193
3/5/1980,1980,3,5,13.51104193
3/6/1980,1980,3,6,13.51104193
3/7/1980,1980,3,7,13.51104193
3/8/1980,1980,3,8,13.51104193
3/9/1980,1980,3,9,19
3/10/1980,1980,3,10,21.3
3/11/1980,1980,3,11,30.1
3/12/1980,1980,3,12,2.7
3/13/1980,1980,3,13,45.4
3/14/1980,1980,3,14,5.1
3/15/1980,1980,3,15,13.51104193
3/16/1980,1980,3,16,13.51104193
3/17/1980,1980,3,17,13.51104193
3/18/1980,1980,3,18,13.51104193
3/19/1980,1980,3,19,13.51104193
3/20/1980,1980,3,20,13.51104193
3/21/1980,1980,3,21,7.5
3/22/1980,1980,3,22,13.51104193
3/23/1980,1980,3,23,13.51104193
3/24/1980,1980,3,24,13.51104193
3/25/1980,1980,3,25,13.51104193
3/26/1980,1980,3,26,13.51104193
3/27/1980,1980,3,27,14.8
3/28/1980,1980,3,28,13.51104193
3/29/1980,1980,3,29,13.51104193
3/30/1980,1980,3,30,13.51104193
3/31/1980,1980,3,31,13.51104193
4/1/1980,1980,4,1,13.51104193
4/2/1980,1980,4,2,13.51104193
4/3/1980,1980,4,3,13.51104193
4/4/1980,1980,4,4,13.51104193
4/5/1980,1980,4,5,13.51104193
4/6/1980,1980,4,6,13.51104193
4/7/1980,1980,4,7,13.51104193
4/8/1980,1980,4,8,13.51104193
4/9/1980,1980,4,9,13.51104193
4/10/1980,1980,4,10,13.51104193
4/11/1980,1980,4,11,1.2
4/12/1980,1980,4,12,0.3
4/13/1980,1980,4,13,13.51104193
4/14/1980,1980,4,14,13.51104193
4/15/1980,1980,4,15,15
4/16/1980,1980,4,16,9.7
4/17/1980,1980,4,17,23
4/18/1980,1980,4,18,0.5
4/19/1980,1980,4,19,13.51104193
4/20/1980,1980,4,20,13.51104193
4/21/1980,1980,4,21,13.51104193
4/22/1980,1980,4,22,34
4/23/1980,1980,4,23,12.7
4/24/1980,1980,4,24,0.4
4/25/1980,1980,4,25,13.51104193
4/26/1980,1980,4,26,13.51104193
4/27/1980,1980,4,27,13.51104193
4/28/1980,1980,4,28,55
4/29/1980,1980,4,29,9
4/30/1980,1980,4,30,1.8
5/1/1980,1980,5,1,13.51104193
5/2/1980,1980,5,2,13.51104193
5/3/1980,1980,5,3,13.51104193
5/4/1980,1980,5,4,13.51104193
5/5/1980,1980,5,5,13.51104193
5/6/1980,1980,5,6,13.51104193
5/7/1980,1980,5,7,13.51104193
5/8/1980,1980,5,8,13.51104193
5/9/1980,1980,5,9,13.51104193
5/10/1980,1980,5,10,13.51104193
5/11/1980,1980,5,11,13.51104193
5/12/1980,1980,5,12,13.51104193
5/13/1980,1980,5,13,13.51104193
5/14/1980,1980,5,14,13.51104193
5/15/1980,1980,5,15,0.3
5/16/1980,1980,5,16,13.51104193
5/17/1980,1980,5,17,13.51104193
5/18/1980,1980,5,18,13.51104193
5/19/1980,1980,5,19,13.51104193
5/20/1980,1980,5,20,13.51104193
5/21/1980,1980,5,21,13.51104193
5/22/1980,1980,5,22,13.51104193
5/23/1980,1980,5,23,13.51104193
5/24/1980,1980,5,24,13.51104193
5/25/1980,1980,5,25,13.51104193
5/26/1980,1980,5,26,13.51104193
5/27/1980,1980,5,27,1.6
5/28/1980,1980,5,28,13.51104193
5/29/1980,1980,5,29,0.6
5/30/1980,1980,5,30,13.51104193
5/31/1980,1980,5,31,13.51104193
6/1/1980,1980,6,1,13.51104193
6/2/1980,1980,6,2,13.51104193
6/3/1980,1980,6,3,13.51104193
6/4/1980,1980,6,4,13.51104193
6/5/1980,1980,6,5,13.51104193
6/6/1980,1980,6,6,13.51104193
6/7/1980,1980,6,7,13.51104193
6/8/1980,1980,6,8,13.51104193
6/9/1980,1980,6,9,13.51104193
6/10/1980,1980,6,10,13.51104193
6/11/1980,1980,6,11,13.51104193
6/12/1980,1980,6,12,13.51104193
6/13/1980,1980,6,13,13.51104193
6/14/1980,1980,6,14,13.51104193
6/15/1980,1980,6,15,13.51104193
6/16/1980,1980,6,16,13.51104193
6/17/1980,1980,6,17,7.4
6/18/1980,1980,6,18,13.51104193
6/19/1980,1980,6,19,13.51104193
6/20/1980,1980,6,20,13.51104193
6/21/1980,1980,6,21,13.51104193
6/22/1980,1980,6,22,13.51104193
6/23/1980,1980,6,23,13.51104193
6/24/1980,1980,6,24,13.51104193
6/25/1980,1980,6,25,13.51104193
6/26/1980,1980,6,26,13.51104193
6/27/1980,1980,6,27,13.51104193
6/28/1980,1980,6,28,13.51104193
6/29/1980,1980,6,29,13.51104193
6/30/1980,1980,6,30,13.51104193
7/1/1980,1980,7,1,13.51104193
7/2/1980,1980,7,2,13.51104193
7/3/1980,1980,7,3,13.51104193
7/4/1980,1980,7,4,9.7
7/5/1980,1980,7,5,13.51104193
7/6/1980,1980,7,6,13.51104193
7/7/1980,1980,7,7,13.51104193
7/8/1980,1980,7,8,13.51104193
7/9/1980,1980,7,9,13.51104193
7/10/1980,1980,7,10,13.51104193
7/11/1980,1980,7,11,13.51104193
7/12/1980,1980,7,12,13.51104193
7/13/1980,1980,7,13,13.51104193
7/14/1980,1980,7,14,13.51104193
7/15/1980,1980,7,15,13.51104193
7/16/1980,1980,7,16,13.51104193
7/17/1980,1980,7,17,13.51104193
7/18/1980,1980,7,18,8.9
7/19/1980,1980,7,19,13.51104193
7/20/1980,1980,7,20,2.6
7/21/1980,1980,7,21,0.5
7/22/1980,1980,7,22,13.51104193
7/23/1980,1980,7,23,12
7/24/1980,1980,7,24,0.8
7/25/1980,1980,7,25,13.51104193
7/26/1980,1980,7,26,13.51104193
7/27/1980,1980,7,27,13.51104193
7/28/1980,1980,7,28,13.51104193
7/29/1980,1980,7,29,13.51104193
7/30/1980,1980,7,30,13.51104193
7/31/1980,1980,7,31,13.51104193
8/1/1980,1980,8,1,13.51104193
8/2/1980,1980,8,2,13.51104193
8/3/1980,1980,8,3,13.51104193
8/4/1980,1980,8,4,13.51104193
8/5/1980,1980,8,5,13.51104193
8/6/1980,1980,8,6,13.51104193
8/7/1980,1980,8,7,13.51104193
8/8/1980,1980,8,8,13.51104193
8/9/1980,1980,8,9,13.51104193
8/10/1980,1980,8,10,13.51104193
8/11/1980,1980,8,11,13.51104193
8/12/1980,1980,8,12,13.51104193
8/13/1980,1980,8,13,13.51104193
8/14/1980,1980,8,14,13.51104193
8/15/1980,1980,8,15,13.51104193
8/16/1980,1980,8,16,13.51104193
8/17/1980,1980,8,17,13.51104193
8/18/1980,1980,8,18,13.51104193
8/19/1980,1980,8,19,13.51104193
8/20/1980,1980,8,20,13.51104193
8/21/1980,1980,8,21,13.51104193
8/22/1980,1980,8,22,13.51104193
8/23/1980,1980,8,23,13.51104193
8/24/1980,1980,8,24,2.9
8/25/1980,1980,8,25,0.5
8/26/1980,1980,8,26,13.51104193
8/27/1980,1980,8,27,13.51104193
8/28/1980,1980,8,28,13.51104193
8/29/1980,1980,8,29,13.51104193
8/30/1980,1980,8,30,13.51104193
8/31/1980,1980,8,31,0.6
9/1/1980,1980,9,1,0.4
9/2/1980,1980,9,2,13.51104193
9/3/1980,1980,9,3,13.51104193
9/4/1980,1980,9,4,13.51104193
9/5/1980,1980,9,5,13.51104193
9/6/1980,1980,9,6,0.6
9/7/1980,1980,9,7,13.51104193
9/8/1980,1980,9,8,13.51104193
9/9/1980,1980,9,9,13.51104193
9/10/1980,1980,9,10,13.51104193
9/11/1980,1980,9,11,13.51104193
9/12/1980,1980,9,12,13.51104193
9/13/1980,1980,9,13,13.51104193
9/14/1980,1980,9,14,13.51104193
9/15/1980,1980,9,15,13.51104193
9/16/1980,1980,9,16,13.51104193
9/17/1980,1980,9,17,13.51104193
9/18/1980,1980,9,18,13.51104193
9/19/1980,1980,9,19,13.51104193
9/20/1980,1980,9,20,13.51104193
9/21/1980,1980,9,21,13.51104193
9/22/1980,1980,9,22,13.51104193
9/23/1980,1980,9,23,13.51104193
9/24/1980,1980,9,24,13.51104193
9/25/1980,1980,9,25,13.51104193
9/26/1980,1980,9,26,13.51104193
9/27/1980,1980,9,27,13.51104193
9/28/1980,1980,9,28,13.51104193
9/29/1980,1980,9,29,13.51104193
9/30/1980,1980,9,30,13.51104193
10/1/1980,1980,10,1,13.51104193
10/2/1980,1980,10,2,13.51104193
10/3/1980,1980,10,3,13.51104193
10/4/1980,1980,10,4,13.51104193
10/5/1980,1980,10,5,2.9
10/6/1980,1980,10,6,13.51104193
10/7/1980,1980,10,7,13.51104193
10/8/1980,1980,10,8,13.51104193
10/9/1980,1980,10,9,13.51104193
10/10/1980,1980,10,10,13.51104193
10/11/1980,1980,10,11,13.51104193
10/12/1980,1980,10,12,13.51104193
10/13/1980,1980,10,13,13.51104193
10/14/1980,1980,10,14,13.51104193
10/15/1980,1980,10,15,13.51104193
10/16/1980,1980,10,16,13.51104193
10/17/1980,1980,10,17,13.51104193
10/18/1980,1980,10,18,13.51104193
10/19/1980,1980,10,19,13.51104193
10/20/1980,1980,10,20,13.51104193
10/21/1980,1980,10,21,1
10/22/1980,1980,10,22,13.51104193
10/23/1980,1980,10,23,0.6
10/24/1980,1980,10,24,13.51104193
10/25/1980,1980,10,25,13.51104193
10/26/1980,1980,10,26,13.51104193
10/27/1980,1980,10,27,13.51104193
10/28/1980,1980,10,28,13.51104193
10/29/1980,1980,10,29,13.51104193
10/30/1980,1980,10,30,6.5
10/31/1980,1980,10,31,13.51104193
11/1/1980,1980,11,1,13.51104193
11/2/1980,1980,11,2,13.51104193
11/3/1980,1980,11,3,13.51104193
11/4/1980,1980,11,4,13.51104193
11/5/1980,1980,11,5,13.51104193
11/6/1980,1980,11,6,13.51104193
11/7/1980,1980,11,7,13.51104193
11/8/1980,1980,11,8,13.51104193
11/9/1980,1980,11,9,13.51104193
11/10/1980,1980,11,10,13.51104193
11/11/1980,1980,11,11,13.51104193
11/12/1980,1980,11,12,13.51104193
11/13/1980,1980,11,13,13.51104193
11/14/1980,1980,11,14,13.51104193
11/15/1980,1980,11,15,13.51104193
11/16/1980,1980,11,16,19.3
11/17/1980,1980,11,17,14.6
11/18/1980,1980,11,18,13.51104193
11/19/1980,1980,11,19,13.51104193
11/20/1980,1980,11,20,5.4
11/21/1980,1980,11,21,14.3
11/22/1980,1980,11,22,13.51104193
11/23/1980,1980,11,23,13.51104193
11/24/1980,1980,11,24,17
11/25/1980,1980,11,25,13.51104193
11/26/1980,1980,11,26,13.51104193
11/27/1980,1980,11,27,13.51104193
11/28/1980,1980,11,28,5
11/29/1980,1980,11,29,13.51104193
11/30/1980,1980,11,30,13.51104193
12/1/1980,1980,12,1,18
12/2/1980,1980,12,2,0.4
12/3/1980,1980,12,3,0.6
12/4/1980,1980,12,4,1.6
12/5/1980,1980,12,5,13.51104193
12/6/1980,1980,12,6,13.51104193
12/7/1980,1980,12,7,13.51104193
12/8/1980,1980,12,8,13.51104193
12/9/1980,1980,12,9,12.5
12/10/1980,1980,12,10,1.4
12/11/1980,1980,12,11,13.51104193
12/12/1980,1980,12,12,13.51104193
12/13/1980,1980,12,13,13.51104193
12/14/1980,1980,12,14,13.51104193
12/15/1980,1980,12,15,13.51104193
12/16/1980,1980,12,16,44.5
12/17/1980,1980,12,17,13.51104193
12/18/1980,1980,12,18,13.51104193
12/19/1980,1980,12,19,27.2
12/20/1980,1980,12,20,139
12/21/1980,1980,12,21,9.1
12/22/1980,1980,12,22,2
12/23/1980,1980,12,23,42
12/24/1980,1980,12,24,10
12/25/1980,1980,12,25,13.51104193
12/26/1980,1980,12,26,0.8
12/27/1980,1980,12,27,13.51104193
12/28/1980,1980,12,28,19.1
12/29/1980,1980,12,29,13.51104193
12/30/1980,1980,12,30,59
12/31/1980,1980,12,31,67.8
1/1/1981,1981,1,1,7
1/2/1981,1981,1,2,24.2
1/3/1981,1981,1,3,73
1/4/1981,1981,1,4,20
1/5/1981,1981,1,5,2.5
1/6/1981,1981,1,6,1
1/7/1981,1981,1,7,1.4
1/8/1981,1981,1,8,2.5
1/9/1981,1981,1,9,13.51104193
1/10/1981,1981,1,10,22
1/11/1981,1981,1,11,16
1/12/1981,1981,1,12,13.51104193
1/13/1981,1981,1,13,5.6
1/14/1981,1981,1,14,78
1/15/1981,1981,1,15,34.5
1/16/1981,1981,1,16,13.51104193
1/17/1981,1981,1,17,32.2
1/18/1981,1981,1,18,8.3
1/19/1981,1981,1,19,53.2
1/20/1981,1981,1,20,58
1/21/1981,1981,1,21,13.5
1/22/1981,1981,1,22,6.4
1/23/1981,1981,1,23,13.51104193
1/24/1981,1981,1,24,27
1/25/1981,1981,1,25,66.1
1/26/1981,1981,1,26,13.51104193
1/27/1981,1981,1,27,3.9
1/28/1981,1981,1,28,28.6
1/29/1981,1981,1,29,31.8
1/30/1981,1981,1,30,13.51104193
1/31/1981,1981,1,31,0.5
2/1/1981,1981,2,1,0.9
2/2/1981,1981,2,2,8.6
2/3/1981,1981,2,3,9.4
2/4/1981,1981,2,4,2.2
2/5/1981,1981,2,5,2.2
2/6/1981,1981,2,6,0.1
2/7/1981,1981,2,7,1.9
2/8/1981,1981,2,8,37.3
2/9/1981,1981,2,9,15.9
2/10/1981,1981,2,10,13.51104193
2/11/1981,1981,2,11,0.7
2/12/1981,1981,2,12,2.2
2/13/1981,1981,2,13,12.2
2/14/1981,1981,2,14,2.7
2/15/1981,1981,2,15,4.4
2/16/1981,1981,2,16,51.4
2/17/1981,1981,2,17,22.4
2/18/1981,1981,2,18,13.51104193
2/19/1981,1981,2,19,1
2/20/1981,1981,2,20,13.51104193
2/21/1981,1981,2,21,33.5
2/22/1981,1981,2,22,4
2/23/1981,1981,2,23,19.6
2/24/1981,1981,2,24,21.8
2/25/1981,1981,2,25,8.5
2/26/1981,1981,2,26,13.51104193
2/27/1981,1981,2,27,13.51104193
2/28/1981,1981,2,28,13.51104193
3/1/1981,1981,3,1,13.51104193
